gene_id	chrom	strand	gene_name	PAS	D0_1 reads	D0_1 PAU	D0_1 host gene reads	D0_2 reads	D0_2 PAU	D0_2 host gene reads	D0_3 reads	D0_3 PAU	D0_3 host gene reads	D7_1 reads	D7_1 PAU	D7_1 host gene reads	D7_2 reads	D7_2 PAU	D7_2 host gene reads	D7_3 reads	D7_3 PAU	D7_3 host gene reads
ENSG00000141956.14	chr21	-	PRDM15	41798225	33	75	44	11	91.667	12	13	59.091	22	6	100	6	11	84.615	13	9	81.818	11
ENSG00000141956.14	chr21	-	PRDM15	41799121	5	11.364	44	0	0	12	3	13.636	22	0	0	6	1	7.692	13	2	18.182	11
ENSG00000141959.17	chr21	+	PFKL	44327371	337	98.538	342	139	98.582	141	282	96.907	291	76	97.436	78	192	97.462	197	105	98.131	107
ENSG00000142149.9	chr21	+	HUNK	32002004	37	97.368	38	17	94.444	18	27	100	27	24	96	25	65	95.588	68	35	94.595	37
ENSG00000142156.16	chr21	+	COL6A1	46004102	32	8.163	392	9	5	180	16	5.654	283	13	5.439	239	22	3.88	567	18	5.471	329
ENSG00000142156.16	chr21	+	COL6A1	46005048	350	89.286	392	165	91.667	180	259	91.519	283	218	91.213	239	534	94.18	567	299	90.881	329
ENSG00000142166.15	chr21	+	IFNAR1	33349075	3	4.167	72	0	0	30	1	1.266	79	2	5.882	34	8	6.452	124	1	1.818	55
ENSG00000142166.15	chr21	+	IFNAR1	33356041	60	83.333	72	26	86.667	30	70	88.608	79	13	38.235	34	68	54.839	124	32	58.182	55
ENSG00000142166.15	chr21	+	IFNAR1	33356550	2	2.778	72	0	0	30	1	1.266	79	5	14.706	34	4	3.226	124	2	3.636	55
ENSG00000142166.15	chr21	+	IFNAR1	33359141	0	0	72	0	0	30	2	2.532	79	2	5.882	34	6	4.839	124	4	7.273	55
ENSG00000142166.15	chr21	+	IFNAR1	33359304	2	2.778	72	1	3.333	30	0	0	79	4	11.765	34	7	5.645	124	3	5.455	55
ENSG00000142166.15	chr21	+	IFNAR1	33359567	1	1.389	72	0	0	30	0	0	79	0	0	34	4	3.226	124	1	1.818	55
ENSG00000142166.15	chr21	+	IFNAR1	33359823	0	0	72	1	3.333	30	1	1.266	79	7	20.588	34	10	8.065	124	4	7.273	55
ENSG00000142166.15	chr21	+	IFNAR1	33361968	0	0	72	0	0	30	0	0	79	1	2.941	34	9	7.258	124	0	0	55
ENSG00000142168.15	chr21	+	SOD1	31668677	1464	76.972	1902	604	77.436	780	1155	75.937	1521	395	73.148	540	919	75.452	1218	402	74.721	538
ENSG00000142168.15	chr21	+	SOD1	31668858	47	2.471	1902	16	2.051	780	35	2.301	1521	12	2.222	540	19	1.56	1218	14	2.602	538
ENSG00000142168.15	chr21	+	SOD1	31668926	364	19.138	1902	146	18.718	780	310	20.381	1521	127	23.519	540	263	21.593	1218	114	21.19	538
ENSG00000142173.17	chr21	+	COL6A2	46129800	27	11.111	243	10	11.628	86	15	9.202	163	3	8.571	35	15	16.484	91	5	14.706	34
ENSG00000142173.17	chr21	+	COL6A2	46132848	210	86.42	243	73	84.884	86	146	89.571	163	31	88.571	35	75	82.418	91	27	79.412	34
ENSG00000142188.17	chr21	-	TMEM50B	33432486	23	45.098	51	7	25	28	10	23.256	43	20	34.483	58	53	35.811	148	25	34.247	73
ENSG00000142188.17	chr21	-	TMEM50B	33449010	0	0	51	0	0	28	2	4.651	43	1	1.724	58	4	2.703	148	0	0	73
ENSG00000142188.17	chr21	-	TMEM50B	33449141	12	23.529	51	10	35.714	28	12	27.907	43	25	43.103	58	62	41.892	148	32	43.836	73
ENSG00000142188.17	chr21	-	TMEM50B	33449893	3	5.882	51	1	3.571	28	1	2.326	43	0	0	58	1	0.676	148	0	0	73
ENSG00000142188.17	chr21	-	TMEM50B	33450600	7	13.725	51	3	10.714	28	12	27.907	43	9	15.517	58	19	12.838	148	11	15.068	73
ENSG00000142188.17	chr21	-	TMEM50B	33450701	5	9.804	51	5	17.857	28	6	13.953	43	2	3.448	58	9	6.081	148	4	5.479	73
ENSG00000142192.22	chr21	-	APP	25880553	329	31.244	1053	212	37.722	562	351	34.684	1012	355	32.719	1085	790	31.188	2533	450	31.825	1414
ENSG00000142192.22	chr21	-	APP	25880806	678	64.387	1053	332	59.075	562	616	60.87	1012	694	63.963	1085	1684	66.482	2533	920	65.064	1414
ENSG00000142197.13	chr21	+	DOP1B	36294122	9	45	20	2	40	5	2	25	8	8	47.059	17	32	54.237	59	14	48.276	29
ENSG00000142197.13	chr21	+	DOP1B	36294274	7	35	20	2	40	5	2	25	8	8	47.059	17	24	40.678	59	15	51.724	29
ENSG00000142207.7	chr21	-	URB1	32311018	12	8.633	139	2	3.077	65	7	5.303	132	2	6.061	33	4	5.063	79	5	11.628	43
ENSG00000142207.7	chr21	-	URB1	32313466	10	7.194	139	6	9.231	65	20	15.152	132	6	18.182	33	12	15.19	79	12	27.907	43
ENSG00000142207.7	chr21	-	URB1	32313584	3	2.158	139	3	4.615	65	5	3.788	132	1	3.03	33	4	5.063	79	2	4.651	43
ENSG00000142207.7	chr21	-	URB1	32313965	11	7.914	139	5	7.692	65	6	4.545	132	3	9.091	33	1	1.266	79	0	0	43
ENSG00000142207.7	chr21	-	URB1	32314044	84	60.432	139	41	63.077	65	70	53.03	132	18	54.545	33	49	62.025	79	18	41.86	43
