gene_id	short_gene_id	APA_change	pvalue	APA_type	chrom	strand	gene_name	number_of_PAS	PAS_coordinates	PAS_read_counts	PAS_PAUs	PAUs_control	PAUs_experimental	PAU_changes	P_adj	APA_trend
ENSG00000210082.2	ENSG00000210082	-0.0837244620706352	0	Last_exon_tandem_APA	chrM	+	MT-RNR2	3	3229,2565,1938	363345,8403,5726	70.54,1.63,1.11	70.69,1.93,1.77	64.63,2.5,2.45	-6.06,0.57,0.68	0	no change
ENSG00000138095.20	ENSG00000138095	0.245080618624548	0	Last_exon_tandem_APA	chr2	-	LRPPRC	4	43888499,43887742,43888277,43886223	545,513,282,133	35.09,33.03,18.16,8.56	43.14,27.34,18.66,5.92	20.93,43.15,17.96,14.07	-22.21,15.81,-0.7,8.15	0	longer
ENSG00000134014.18	ENSG00000134014	0.293953011668243	1.07521017100876e-06	Last_exon_tandem_APA	chr8	+	ELP3	3	28191153,28190097,28112699	181,129,5	56.74,40.44,1.57	43.45,47.62,2.98	70.86,26.49,0	27.41,-21.13,-2.98	1.63040460484693e-05	longer
ENSG00000100889.12	ENSG00000100889	-0.0449476754160233	0.756495247900793	Mixed_APA	chr14	+	PCK2	2	24104125,24100562	393,16	93.13,3.79	92.54,3.28	93.1,5.75	0.56,2.47	0.771236063878921	no change
ENSG00000139921.13	ENSG00000139921	0.0732774167085098	0.0196149384845182	Last_exon_tandem_APA	chr14	+	TMX1	4	51256039,51255654,51257546,51255069	1117,152,78,26	72.3,9.84,5.05,1.68	68.07,12.33,5.37,2.42	73.99,7.72,5.87,1.51	5.92,-4.61,0.5,-0.91	0.067734010522709	no change
ENSG00000211459.2	ENSG00000211459	-0.181046166089808	0	Last_exon_tandem_APA	chrM	+	MT-RNR1	4	1601,1530,998,919	103394,6550,3744,3699	68.78,4.36,2.49,2.46	76.01,2.59,1.28,2.41	59.59,5.13,4.54,4.91	-16.42,2.54,3.26,2.5	0	shorter
ENSG00000119969.16	ENSG00000119969	0.141330891330891	0.0272693257224028	Mixed_APA	chr10	+	HELLS	3	94602099,94613905,94574826	336,257,8	51.38,39.3,1.22	53.48,37,0.92	38.89,50,1.85	-14.59,13,0.93	0.0856252508951397	no change
ENSG00000163902.12	ENSG00000163902	0.0763143544220059	7.02470228471919e-05	Last_exon_tandem_APA	chr3	-	RPN1	3	128619969,128620147,128620065	2665,614,44	78.24,18.03,1.29	73.35,19.77,1.67	80.2,14.91,1.23	6.85,-4.86,-0.44	0.000680698727503555	no change
ENSG00000170144.22	ENSG00000170144	0.225098751549751	0	Last_exon_tandem_APA	chr2	+	HNRNPA3	9	177219778,177220534,177223853,177220131,177221383,177221332,177223342,177221013,177223959	2344,571,328,302,183,130,76,74,68	48.8,11.89,6.83,6.29,3.81,2.71,1.58,1.54,1.42	51.76,13.04,3.87,7.48,4.09,2.85,1.17,2.03,0.67	34.55,12.42,15.15,7.15,6.91,3.64,3.15,3.58,3.52	-17.21,-0.62,11.28,-0.33,2.82,0.79,1.98,1.55,2.85	0	longer
ENSG00000130255.13	ENSG00000130255	0.0776979809707409	0	Last_exon_tandem_APA	chr19	+	RPL36	2	5691667,5691875	16566,751	94.96,4.3	94.32,3.93	93.93,4.73	-0.39,0.8	0	no change
ENSG00000001630.18	ENSG00000001630	0.0715467328370554	0.0112310096248212	Mixed_APA	chr7	-	CYP51A1	4	92112152,92113583,92113254,92113475	1723,56,53,38	90.83,2.95,2.79,2	88.23,3.2,2.62,2.62	89.5,2.73,2.73,1.65	1.27,-0.47,0.11,-0.97	0.0444254310390178	no change
ENSG00000187109.15	ENSG00000187109	-0.114696666880943	0	Last_exon_tandem_APA	chr12	-	NAP1L1	5	76047595,76046173,76049565,76049429,76044894	3516,1934,1350,377,123	44.39,24.42,17.05,4.76,1.55	50.72,24.58,14.93,4,1.66	35.46,25.96,22.2,7.54,2.7	-15.26,1.38,7.27,3.54,1.04	0	shorter
ENSG00000185721.13	ENSG00000185721	-0.0393460198338247	0.455732275653989	Mixed_APA	chr22	+	DRG1	2	31434186,31434320	997,11	96.89,1.07	96.17,0.7	94.29,1.54	-1.88,0.84	0.540547614157143	no change
ENSG00000198752.11	ENSG00000198752	0.0503534747232227	0.456643143780534	Mixed_APA	chr14	-	CDC42BPB	2	102932379,102943817	653,8	96.17,1.18	93.7,1.26	96.37,0.68	2.67,-0.58	0.541342596611912	no change
ENSG00000119408.17	ENSG00000119408	0.132853141256503	0.192116659697888	Last_exon_tandem_APA	chr9	+	NEK6	5	124351458,124352442,124352087,124359186,124352488	133,37,12,7,4	65.84,18.32,5.94,3.47,1.98	71.43,10.2,2.04,6.12,0	61.44,11.11,6.54,2.61,2.61	-9.99,0.91,4.5,-3.51,2.61	0.318918616606031	no change
ENSG00000196781.16	ENSG00000196781	-0.0603011846940611	0.134863311552986	Mixed_APA	chr9	-	TLE1	2	81583682,81633468	749,359	66.28,31.77	68.28,27.31	64.37,32.11	-3.91,4.8	0.255108431291791	no change
ENSG00000115204.15	ENSG00000115204	-0.0603415559772296	0.449542168841154	Last_exon_tandem_APA	chr2	-	MPV17	2	27309491,27307399	460,8	95.83,1.67	95.16,0.97	93.53,2.94	-1.63,1.97	0.535818540053185	no change
ENSG00000156687.11	ENSG00000156687	0.353236031254607	4.89601349240587e-07	Last_exon_tandem_APA	chr8	+	UNC5D	9	35796540,35794663,35796295,35794163,35796428,35796495,35798052,35791313,35795843	105,38,33,9,5,5,5,3,3	45.06,16.31,14.16,3.86,2.15,2.15,2.15,1.29,1.29	30.25,23.53,13.45,4.2,2.52,1.68,0.84,2.52,2.52	60.53,8.77,14.91,3.51,0.88,2.63,3.51,0,0	30.28,-14.76,1.46,-0.69,-1.64,0.95,2.67,-2.52,-2.52	8.02535982115855e-06	longer
ENSG00000266472.6	ENSG00000266472	0.0621502076187038	0.00830031311202184	Last_exon_tandem_APA	chr1	+	MRPS21	3	150308349,150308979,150309782	2444,64,54	95.02,2.49,2.1	85.54,2.16,2.03	79.6,2.97,2.2	-5.94,0.81,0.17	0.0352998665855787	no change
ENSG00000226950.8	ENSG00000226950	0.0496573777980813	0.0488637755784942	Mixed_APA	chr4	+	DANCR	2	52714137,52713373	3595,116	95.74,3.09	91.73,3.12	92.99,2.99	1.26,-0.13	0.129904022579282	no change
ENSG00000153187.21	ENSG00000153187	0.133985099900445	0	Mixed_APA	chr1	-	HNRNPU	5	244853657,244854132,244853387,244854410,244851168	2340,1493,1014,293,70	40.25,25.68,17.44,5.04,1.2	42,28.93,15.81,6.22,1.31	38.93,21.39,23.45,5.27,2.39	-3.07,-7.54,7.64,-0.95,1.08	0	longer
ENSG00000182871.16	ENSG00000182871	0.0683830758101316	0.00391588995724623	Last_exon_tandem_APA	chr21	+	COL18A1	2	45513721,45512587	1458,1146	53.43,41.99	52.53,28.39	53.2,28.46	0.67,0.07	0.0194476234686859	no change
ENSG00000109861.17	ENSG00000109861	-0.204917233434545	0	Mixed_APA	chr11	-	CTSC	2	88293591,88326087	2975,482	82.68,13.4	87.72,8.46	67.92,27.31	-19.8,18.85	0	shorter
ENSG00000108953.17	ENSG00000108953	0.0231069402378594	0.0510500550011269	Last_exon_tandem_APA	chr17	-	YWHAE	2	1344545,1344485	10401,466	93.22,4.18	91.37,4.56	92.96,4.14	1.59,-0.42	0.13369532526226	no change
