gene_id	chrom	strand	gene_name	PAS	~/Desktop/KSAPA/WT_D0_dRNA.no_sec.isoquant/OUT/	~/Desktop/KSAPA/WT_D7_dRNA_4.isoquant/
ENSG00000000003.15	chrX	-	TSPAN6	100629024	37.57	41.67
ENSG00000000003.15	chrX	-	TSPAN6	100629691	37.8	32.12
ENSG00000000003.15	chrX	-	TSPAN6	100628714	14.96	14.24
ENSG00000000003.15	chrX	-	TSPAN6	100629128	2.14	1.97
ENSG00000000003.15	chrX	-	TSPAN6	100627103	1.8	2.12
ENSG00000000419.14	chr20	-	DPM1	50934869	83.54	80.28
ENSG00000000419.14	chr20	-	DPM1	50934667	0.9	4.17
ENSG00000000457.14	chr1	-	SCYL3	169853088	72.41	56.52
ENSG00000000457.14	chr1	-	SCYL3	169849630	10.34	21.74
ENSG00000000460.17	chr1	+	C1orf112	169853085	75.17	72
ENSG00000000460.17	chr1	+	C1orf112	169804386	4.14	10
ENSG00000000460.17	chr1	+	C1orf112	169853260	5.52	2
ENSG00000000460.17	chr1	+	C1orf112	169854080	4.14	4
ENSG00000000460.17	chr1	+	C1orf112	169853041	2.76	2
ENSG00000000460.17	chr1	+	C1orf112	169807846	2.07	0
ENSG00000001036.14	chr6	-	FUCA2	143495486	90.38	91.63
ENSG00000001036.14	chr6	-	FUCA2	143493953	6.2	5.42
ENSG00000001084.13	chr6	-	GCLC	53497340	36.93	45.65
ENSG00000001084.13	chr6	-	GCLC	53497521	23.24	27.17
ENSG00000001084.13	chr6	-	GCLC	53498141	21.16	9.78
ENSG00000001084.13	chr6	-	GCLC	53498320	2.9	8.7
ENSG00000001084.13	chr6	-	GCLC	53498265	6.22	0
ENSG00000001084.13	chr6	-	GCLC	53497434	4.15	4.35
ENSG00000001167.15	chr6	+	NFYA	41099966	53.17	54.41
ENSG00000001167.15	chr6	+	NFYA	41102400	30.95	35.29
ENSG00000001167.15	chr6	+	NFYA	41098995	6.35	1.47
ENSG00000001167.15	chr6	+	NFYA	41097953	3.17	2.94
ENSG00000001167.15	chr6	+	NFYA	41099918	3.17	1.47
ENSG00000001460.18	chr1	-	STPG1	24356998	50	66.67
ENSG00000001460.18	chr1	-	STPG1	24401078	6	12.5
ENSG00000001460.18	chr1	-	STPG1	24370237	6	0
ENSG00000001460.18	chr1	-	STPG1	24379257	2	8.33
ENSG00000001461.17	chr1	+	NIPAL3	24472976	40.38	84.51
ENSG00000001461.17	chr1	+	NIPAL3	24466338	21.15	1.41
ENSG00000001461.17	chr1	+	NIPAL3	24469270	11.54	0
ENSG00000001461.17	chr1	+	NIPAL3	24469331	9.62	0
ENSG00000001497.18	chrX	-	LAS1L	65512581	88.53	84.49
ENSG00000001497.18	chrX	-	LAS1L	65520428	4.13	8.56
ENSG00000001561.7	chr6	+	ENPP4	46146548	14.63	30.86
ENSG00000001561.7	chr6	+	ENPP4	46146662	14.63	12.35
ENSG00000001561.7	chr6	+	ENPP4	46145881	26.83	13.58
ENSG00000001561.7	chr6	+	ENPP4	46146594	14.63	17.28
ENSG00000001561.7	chr6	+	ENPP4	46144043	7.32	6.17
ENSG00000001561.7	chr6	+	ENPP4	46146339	4.88	4.94
ENSG00000001617.12	chr3	+	SEMA3F	50189075	81.44	81.5
ENSG00000001617.12	chr3	+	SEMA3F	50188217	10.31	11.56
ENSG00000001617.12	chr3	+	SEMA3F	50188476	2.06	0.58
ENSG00000001629.10	chr7	+	ANKIB1	92401380	76.07	76.8
ENSG00000001629.10	chr7	+	ANKIB1	92401775	5.13	6.08
ENSG00000001629.10	chr7	+	ANKIB1	92400371	4.27	6.63
ENSG00000001629.10	chr7	+	ANKIB1	92402067	2.56	2.76
ENSG00000001629.10	chr7	+	ANKIB1	92400899	0.85	1.66
ENSG00000001630.18	chr7	-	CYP51A1	92112152	89.46	90.89
ENSG00000001630.18	chr7	-	CYP51A1	92113583	2.44	2
