gene_id	short_gene_id	APA_change	pvalue	APA_type	chrom	strand	gene_name	gene_biotype	PAS_coordinates	number_of_PAS	reads_D0	PAUs_D0	reads_D7	PAUs_D7	PAU_changes
ENSG00000182871.16	ENSG00000182871	-0.0127360066678033	0.559195979382503	Last_exon_tandem_APA	chr21	+	COL18A1	protein_coding	45512587,45513720	2	834,1118	41.023,54.993	1036,1354	41.324,54.009	0.301,-0.984
ENSG00000182093.16	ENSG00000182093	-0.040956658466307	0.198687662152949	Mixed_APA	chr21	+	GET1	protein_coding	39397700,39397788,39397889	3	378,46,49	77.778,9.465,10.082	888,112,76	81.17,10.238,6.947	3.392,0.773,-3.135
ENSG00000156261.13	ENSG00000156261	0.00276944536182056	0.580719585800004	Single PAS	chr21	-	CCT8	protein_coding	29056326	1	5227	98.031	2047	98.272	0.241
ENSG00000280614.1	ENSG00000280614	0.277382645803698	0.29898625232054	Last_exon_tandem_APA	chr21	-	ENSG00000280614	lncRNA	8393450,8393900,8394113	3	4,12,3	10.811,32.432,8.108	5,1,3	26.316,5.263,15.789	15.505,-27.169,7.681
ENSG00000275464.6	ENSG00000275464	0.0549001814882033	0.449299294192859	Last_exon_tandem_APA	chr21	-	ENSG00000275464	artifact	5130871,5130932,5130998	3	138,284,8	31.579,64.989,1.831	43,70,3	37.069,60.345,2.586	5.49,-4.644,0.755
ENSG00000183255.12	ENSG00000183255	0.0135679678243583	0.257544822043503	Last_exon_tandem_APA	chr21	-	PTTG1IP	protein_coding	44849598,44849872	2	1195,23	93.505,1.8	1931,55	94.564,2.693	1.059,0.893
ENSG00000154723.13	ENSG00000154723	0.0734610114934275	0.000113653057551844	Mixed_APA	chr21	-	ATP5PF	protein_coding	25724500,25724553	2	1956,1428	57.344,41.865	1425,764	64.626,34.649	7.282,-7.216
ENSG00000159228.13	ENSG00000159228	0.0181420524278566	0.496048849148955	Last_exon_tandem_APA	chr21	+	CBR1	protein_coding	36072985,36073164	2	13,717	1.759,97.023	0,85	0,98.837	-1.759,1.814
ENSG00000142192.22	ENSG00000142192	-0.0252104838890257	0.131090669023304	Last_exon_tandem_APA	chr21	-	APP	protein_coding	25880553,25880806	2	892,1626	33.955,61.896	1595,3298	31.697,65.541	-2.258,3.645
ENSG00000160285.15	ENSG00000160285	0.0717657949548716	0.000758613218452053	Mixed_APA	chr21	-	LSS	protein_coding	46188446,46189131	2	39,814	4.483,93.563	74,642	9.933,86.174	5.45,-7.389
ENSG00000160213.9	ENSG00000160213	0.020041412868221	0.0216212368550186	Last_exon_tandem_APA	chr21	-	CSTB	protein_coding	43772512,43773697,43773950	3	19,30,2563	0.724,1.143,97.675	26,9,917	2.728,0.944,96.222	2.004,-0.199,-1.453
ENSG00000205927.5	ENSG00000205927	0.158543417366947	0.22152970602737	Last_exon_tandem_APA	chr21	+	OLIG2	protein_coding	33028557,33029196	2	6,39	11.765,76.471	0,30	0,85.714	-11.765,9.243
ENSG00000184900.16	ENSG00000184900	0.0137090293436112	0.60637758742521	Last_exon_tandem_APA	chr21	-	SUMO3	protein_coding	44805617,44805858,44806715	3	1520,208,117	79.456,10.873,6.116	536,70,36	80,10.448,5.373	0.544,-0.425,-0.743
ENSG00000241837.7	ENSG00000241837	0.000947979284761091	0.675511115401643	Single PAS	chr21	-	ATP5PO	protein_coding	33903456	1	5125	99.515	3155	99.464	-0.051
ENSG00000160310.19	ENSG00000160310	0.223397033121001	4.48238469674678e-07	Mixed_APA	chr21	+	PRMT2	protein_coding	46649888,46653142,46660144,46661270,46664941,46665124,46665685	7	182,11,65,24,215,7,19	32.27,1.95,11.525,4.255,38.121,1.241,3.369	129,16,112,75,540,21,37	13.136,1.629,11.405,7.637,54.99,2.138,3.768	-19.134,-0.321,-0.12,3.382,16.869,0.897,0.399
ENSG00000185808.14	ENSG00000185808	0.0750896679393729	0.199350387423548	Mixed_APA	chr21	-	PIGP	protein_coding	37063701,37065376,37065459,37065512,37071285	5	1,153,20,13,8	0.498,76.119,9.95,6.468,3.98	4,202,30,10,2	1.55,78.295,11.628,3.876,0.775	1.052,2.176,1.678,-2.592,-3.205
ENSG00000275895.8	ENSG00000275895	-0.00245579567779952	0.647551333683536	Single PAS	chr21	-	ENSG00000275895	artifact	6484623	1	2024	99.411	506	99.411	0
ENSG00000183527.12	ENSG00000183527	0.0543644037738526	0.000101648412373923	Last_exon_tandem_APA	chr21	-	PSMG1	protein_coding	39174714,39175458	2	4,1165	0.338,98.395	22,355	5.774,93.176	5.436,-5.219
ENSG00000173638.19	ENSG00000173638	0.150242358491505	0.0212957891422956	Mixed_APA	chr21	-	SLC19A1	protein_coding	45512233,45512394,45512569,45513724,45513776,45514715,45515134	7	7,5,49,13,47,291,31	1.512,1.08,10.583,2.808,10.151,62.851,6.695	9,7,31,7,31,104,16	4.147,3.226,14.286,3.226,14.286,47.926,7.373	2.635,2.146,3.703,0.418,4.135,-14.925,0.678
ENSG00000160194.18	ENSG00000160194	0.0219768024481244	0.344315984522832	Mixed_APA	chr21	+	NDUFV3	protein_coding	42883825,42909100,42909670,42911901	4	34,1290,113,33	2.244,85.149,7.459,2.178	25,659,68,18	3.137,82.685,8.532,2.258	0.893,-2.464,1.073,0.08
ENSG00000142188.17	ENSG00000142188	0.168135613138257	0.0653009491972818	Mixed_APA	chr21	-	TMEM50B	protein_coding	33432486,33449010,33449141,33449893,33450600,33450701	6	40,2,34,5,22,16	32.787,1.639,27.869,4.098,18.033,13.115	98,5,119,1,39,15	35.125,1.792,42.652,0.358,13.978,5.376	2.338,0.153,14.783,-3.74,-4.055,-7.739
ENSG00000160294.11	ENSG00000160294	0.034117964703861	0.308592239695003	Mixed_APA	chr21	-	MCM3AP	protein_coding	46235133,46235191,46251515	3	457,16,19	87.214,3.053,3.626	280,4,9	90.032,1.286,2.894	2.818,-1.767,-0.732
ENSG00000142168.15	ENSG00000142168	0.0248489961956824	0.120569806947795	Last_exon_tandem_APA	chr21	+	SOD1	protein_coding	31668677,31668858,31668926	3	3223,98,820	76.683,2.332,19.51	1716,45,504	74.739,1.96,21.951	-1.944,-0.372,2.441
ENSG00000184787.19	ENSG00000184787	0.0269678051169054	0.411251521583732	Mixed_APA	chr21	-	UBE2G2	protein_coding	44769046,44769117,44771263,44799987	4	537,34,18,13	85.238,5.397,2.857,2.063	338,17,4,11	86.889,4.37,1.028,2.828	1.651,-1.027,-1.829,0.765
ENSG00000141959.17	ENSG00000141959	0.00377450383538293	0.770332483514224	Single PAS	chr21	+	PFKL	protein_coding	44327371	1	758	97.933	373	97.644	-0.289
ENSG00000205581.11	ENSG00000205581	0.00176538570292517	0.646568903367241	Single PAS	chr21	-	HMGN1	protein_coding	39342317	1	7564	98.464	2746	98.494	0.03
ENSG00000156304.15	ENSG00000156304	0.0480224421709948	0.306786976551185	Mixed_APA	chr21	-	SCAF4	protein_coding	31666728,31670799,31671033,31671183,31681365,31684010,31684781	7	1,8,459,57,13,7,4	0.175,1.401,80.385,9.982,2.277,1.226,0.701	10,1,174,14,8,3,5	4.525,0.452,78.733,6.335,3.62,1.357,2.262	4.35,-0.949,-1.652,-3.647,1.343,0.131,1.561
ENSG00000275215.1	ENSG00000275215	-0.00192386486385816	0.415481344631759	Single PAS	chr21	+	RNA5-8SN3	rRNA	8395763	1	1412	99.929	758	99.737	-0.192
ENSG00000160284.15	ENSG00000160284	-0.0163005375087637	0.189721091827875	Single PAS	chr21	-	SPATC1L	protein_coding	46161160	1	768	98.715	258	97.727	-0.988
ENSG00000160179.19	ENSG00000160179	0.279220779220779	0.0604992640661164	Last_exon_tandem_APA	chr21	+	ABCG1	protein_coding	42296919,42297244	2	7,28	16.667,66.667	1,29	3.03,87.879	-13.637,21.212
ENSG00000160201.12	ENSG00000160201	-0.00680149495056592	0.113891729564488	Single PAS	chr21	-	U2AF1	protein_coding	43092956	1	2426	99.671	614	99.032	-0.639
ENSG00000155313.16	ENSG00000155313	0.0576526946107785	0.457878804403237	Last_exon_tandem_APA	chr21	+	USP25	protein_coding	15878666,15878907,15879712,15880001,15880064	5	8,212,76,3,26	2.395,63.473,22.754,0.898,7.784	0,75,29,2,14	0,60,23.2,1.6,11.2	-2.395,-3.473,0.446,0.702,3.416
ENSG00000155304.6	ENSG00000155304	0.10900057947302	0.000225601863384384	Last_exon_tandem_APA	chr21	-	HSPA13	protein_coding	14371115,14372798	2	390,100	76.772,19.685	806,82	87.229,8.874	10.457,-10.811
ENSG00000160208.13	ENSG00000160208	0.00835356275881765	0.683878778652573	Last_exon_tandem_APA	chr21	+	RRP1B	protein_coding	43693451,43696079	2	31,992	2.972,95.11	7,269	2.482,95.39	-0.49,0.28
ENSG00000160256.13	ENSG00000160256	0.0286266245170355	0.124263943890089	Single PAS	chr21	+	SLX9	protein_coding	44976973	1	860	98.174	148	94.872	-3.302
ENSG00000154719.14	ENSG00000154719	0.011486176049296	0.383501976524893	Single PAS	chr21	-	MRPL39	protein_coding	25585656	1	888	97.797	320	98.16	0.363
ENSG00000142156.16	ENSG00000142156	0.0207280315325759	0.246309648581718	Last_exon_tandem_APA	chr21	+	COL6A1	protein_coding	46004102,46005048	2	57,774	6.667,90.526	53,1051	4.67,92.599	-1.997,2.073
ENSG00000157557.13	ENSG00000157557	0.111893924401346	0.0825455541766049	Last_exon_tandem_APA	chr21	+	ETS2	protein_coding	38823453,38823734,38823801,38824955	4	40,5,133,107	12.903,1.613,42.903,34.516	33,1,124,149	10.123,0.307,38.037,45.706	-2.78,-1.306,-4.866,11.19
ENSG00000274276.6	ENSG00000274276	-0.0105754456331201	0.419055423562014	Single PAS	chr21	-	ENSG00000274276	artifact	6444869	1	2027	97.97	262	97.761	-0.209
ENSG00000159086.15	ENSG00000159086	0.0717696904388715	0.179421197562849	Mixed_APA	chr21	-	PAXBP1	protein_coding	32733899,32734096,32734250,32734824,32741339	5	234,4,7,17,40	73.354,1.254,2.194,5.329,12.539	204,2,7,12,19	79.688,0.781,2.734,4.688,7.422	6.334,-0.473,0.54,-0.641,-5.117
ENSG00000160191.18	ENSG00000160191	0.0568660968660969	0.400787982762945	Mixed_APA	chr21	+	PDE9A	protein_coding	42656937,42701191,42775440,42775509,42775692	5	5,21,28,278,3	1.425,5.983,7.977,79.202,0.855	2,2,9,81,3	2,2,9,81,3	0.575,-3.983,1.023,1.798,2.145
ENSG00000154642.11	ENSG00000154642	0.169362745098039	0.0317143298321549	Last_exon_tandem_APA	chr21	-	C21orf91	protein_coding	17788974,17789742,17792804,17793252	4	164,4,17,55	64.314,1.569,6.667,21.569	91,1,5,8	81.25,0.893,4.464,7.143	16.936,-0.676,-2.203,-14.426
ENSG00000159079.19	ENSG00000159079	0.0243129833799572	0.0920671136910536	Mixed_APA	chr21	-	CFAP298	protein_coding	32600133,32601667	2	26,1942	1.296,96.81	12,388	2.913,94.175	1.617,-2.635
ENSG00000156299.15	ENSG00000156299	0.0454545454545454	0.389546181510753	Last_exon_tandem_APA	chr21	-	TIAM1	protein_coding	31118418,31120081	2	99,5	90,4.545	99,4	94.286,3.81	4.286,-0.735
ENSG00000278189.1	ENSG00000278189	0.000672043010752688	0.628836410679	Single PAS	chr21	+	RNA5-8SN1	rRNA	8439979	1	1487	99.933	695	100	0.067
ENSG00000160200.18	ENSG00000160200	-0.014582230223446	0.335514620099953	Mixed_APA	chr21	-	CBS	protein_coding	43053191,43055057	2	2074,22	97.371,1.033	256,3	96.241,1.128	-1.13,0.095
ENSG00000159131.17	ENSG00000159131	0.140106607848543	0.00125307240311145	Mixed_APA	chr21	-	GART	protein_coding	33498518,33503184,33503962,33524009	4	17,180,826,530	1.055,11.166,51.241,32.878	28,84,148,158	6.481,19.444,34.259,36.574	5.426,8.278,-16.982,3.696
ENSG00000160299.19	ENSG00000160299	-0.0212454212454212	0.54173020129539	Single PAS	chr21	+	PCNT	protein_coding	46445767	1	198	94.286	125	96.154	1.868
ENSG00000157538.14	ENSG00000157538	0.101977738218666	0.114009761776278	Mixed_APA	chr21	-	VPS26C	protein_coding	37221755,37223422,37223679,37225221,37225284,37225400,37261082	7	10,319,25,13,19,34,82	1.898,60.531,4.744,2.467,3.605,6.452,15.56	12,127,4,8,4,9,17	6.186,65.464,2.062,4.124,2.062,4.639,8.763	4.288,4.933,-2.682,1.657,-1.543,-1.813,-6.797
ENSG00000237594.2	ENSG00000237594	0.0771388499298737	0.690590877065788	Last_exon_tandem_APA	chr21	+	TIAM1-AS1	lncRNA	31560284,31560398,31560487,31565981	4	34,4,17,6	54.839,6.452,27.419,9.677	12,3,4,2	52.174,13.043,17.391,8.696	-2.665,6.591,-10.028,-0.981
ENSG00000243927.6	ENSG00000243927	-0.00502001126777052	0.499031890885132	Single PAS	chr21	+	MRPS6	protein_coding	34143030	1	1390	98.652	951	98.041	-0.611
ENSG00000154727.11	ENSG00000154727	0.0642310198761812	0.355298005584237	Last_exon_tandem_APA	chr21	+	GABPA	protein_coding	25769384,25769586,25769746,25769988,25770067,25772460	6	9,5,6,10,16,196	3.629,2.016,2.419,4.032,6.452,79.032	2,4,0,2,6,84	2.02,4.04,0,2.02,6.061,84.848	-1.609,2.024,-2.419,-2.012,-0.391,5.816
ENSG00000277739.1	ENSG00000277739	0.00133067198935462	0.572085782848928	Single PAS	chr21	+	5_8S_rRNA	rRNA	8256937	1	1501	99.867	718	99.861	-0.006
ENSG00000142173.17	ENSG00000142173	-0.0427337398373984	0.341565546051812	Mixed_APA	chr21	+	COL6A2	protein_coding	46129800,46132848	2	52,429	10.569,87.195	23,133	14.375,83.125	3.806,-4.07
ENSG00000159055.4	ENSG00000159055	-0.0197722159372578	0.21291348219812	Single PAS	chr21	-	MIS18A	protein_coding	32268228	1	1027	98.56	146	96.689	-1.871
ENSG00000182362.14	ENSG00000182362	-0.046070460704607	0.256395571053723	Mixed_APA	chr21	+	YBEY	protein_coding	46287086,46297723,46313225	3	6,342,2	1.626,92.683,0.542	4,131,4	2.614,85.621,2.614	0.988,-7.062,2.072
ENSG00000159267.17	ENSG00000159267	0.270343137254902	0.0424418966905109	Mixed_APA	chr21	-	HLCS	protein_coding	36748607,36750888,36751066,36751192,36752050,36752702,36753766,36754155,36854788	9	3,3,3,30,12,7,8,7,2	3.529,3.529,3.529,35.294,14.118,8.235,9.412,8.235,2.353	25,2,3,40,9,5,3,0,3	26.042,2.083,3.125,41.667,9.375,5.208,3.125,0,3.125	22.513,-1.446,-0.404,6.373,-4.743,-3.027,-6.287,-8.235,0.772
